Country code,GDP 60,GDP 65,GDP 70,GDP 75,GDP 80,GDP 85,Worker 60,Worker 65,Worker 70,Worker 75,Worker 80,Worker 85,Life expectation 60,Life expectation 65,Life expectation 70,Life expectation 75,Life expectation 80,Life expectation 85,Expenses on education 60-65,Expenses on education 65-70,Expenses on education 70-75,Expenses on education 75-80,Expenses on education 80-85,Expenses on defense 60-65,Expenses on defense 65-70,Expenses on defense 70-75,Expenses on defense 75-80,Expenses on defense 80-85,Average school years 60,Average school years 65,Average school years 70,Average school years 75,Average school years 80,Average school years 85,Political Instability 60-65,Political Instability 65-70,Political Instability 70-75,Political Instability 75-80,Political Instability 80-85,Civil Liberties 70-75,Civil Liberties 75-80,Civil Liberties 80-85,Civil Liberties 85-90,Political rights 70-75,Political rights 75-80,Political rights 80-85,Political rights 85-90,Population 60,Population 65,Population 70,Population 75,Population 80,Population 85,Export 60-65,Export 65-70,Export 70-75,Export 75-80,Export 80-85,Import 60-65,Import 65-70,Import 70-75,Import 75-80,Import 80-85
88,2527,3173,3317,3909,4408,2813,0.2671,0.2621,0.2553,0.2643,0.2689,0.2698,46,51.6,53,61.4,62.4,63,0.0512,0.0473,0.0458,0.0357,0.0268,0.074,0.093,0.127,0.096,0.255,0.214,0.399,1.126,1.839,2.456,3.039,0.7,0.4,0.3207,0.30815,1,7,6.8,6.8,7,7,6.8,7,6.8,6847,7976,9356,11020,13291,15898,    ,     ,    ,     ,     ,    ,     ,     ,     ,
89,2838,3771,4861,6120,6145,6270,0.359,0.3555,0.3679,0.364,0.3729,0.3803,71.7,72.2,71.2,72.1,72.8,75,     ,0.0685,0.0683,0.073,0.0792,0.064,0.161,0.329,0.28,0.265,6.842,7.098,7.622,8.15,9.135,9.41,0,0,0.03175,0,1,2,2,2,2,3,2.6,2,2,2114,2563,2974,3455,3878,4233,0.1549,0.1814,0.2132,0.2898,0.2822,0.2861,0.2875,0.3642,0.4316,0.373
90,2239,3391,5496,6518,8117,9447,0.4752,0.4935,0.5104,0.4926,0.4889,0.495,67.7,70.3,71.9,74.3,76,77.3,0.0413,0.0406,0.0448,0.0559,0.0559,0.01,0.009,0.008,0.009,0.009,6.71,6.882,6.8,7.291,8.166,8.458,0.00422,0,0.000945,0.000885,0,2,2,1,1,1,1,1,1,94096,98881,104331,111524,116807,120837,0.057,0.0711,0.1032,0.1505,0.172,0.0609,0.0645,0.0958,0.1429,0.1614
91,1124,1577,1421,1410,1885,2113,0.259,0.2578,0.2536,0.2359,0.2207,0.2279,47.2,50.3,54.6,59.3,62.7,65,0.039,0.034,0.0474,0.053,0.0667,0.166,0.166,0.169,0.17,0.136,1.396,1.745,1.607,2.759,2.933,4.308,0.059,0.1,0.5715,0,1,6,6,5.8,5.2,6,6,5.8,5,1695,1962,2299,2600,2923,3407,    ,     ,0.073,0.2172,0.2566,    ,     ,0.2227,0.5156,0.5523
92,690,797,1189,1829,2369,3056,0.3381,0.3438,0.3573,0.3674,0.3863,0.4089,54.2,56.7,59.9,63.9,66.8,68.7,0.0436,0.029,0.0414,0.0264,0.0423,0.051,0.04,0.041,0.056,0.057,3.231,4.426,5.583,5.929,6.849,7.85,0.10404,0.1,0.20289,0.302665,0,5,4.8,5,3.2,6,5.2,5.8,4,25003,28530,31923,35281,38124,40806,0.0206,0.0424,0.0903,0.1726,0.2269,0.0618,0.0807,0.1229,0.1955,0.2475
94,1103,1309,1525,2239,3112,3415,0.3461,0.34,0.3404,0.3622,0.3878,0.3935,54.3,57.9,61.5,64.4,66.9,68.9,0.0332,0.0387,0.043,0.0557,0.0631,0.02,0.035,0.04,0.049,0.07,2.336,2.82,3.404,4.042,4.489,5.361,0,0,0,0.10815,0,2.666667,3,3,3.6,3,3.8,4.2,4.8,8140,9502,10853,12258,13763,15677,0.2295,0.1973,0.1922,0.2496,0.2331,0.199,0.1696,0.1821,0.2167,0.2462
95,478,507,506,494,490,526,0.4908,0.4707,0.4529,0.4376,0.4193,0.4116,38.5,40.3,42.4,44.8,47.3,49.9,0.0052,0.0062,0.0093,0.0155,0.0221,0.005,0.005,0.007,0.009,0.011,0.072,0.103,0.04,0.376,0.526,0.858,0.2,0,0,0,0,6,5.8,3,3.2,5,4.8,4,4.2,9404,10344,11488,13000,14858,16915,    ,0.0271,0.0199,0.0305,0.0271,    ,0.0369,0.0315,0.0418,0.0465
96,   ,    ,7308,9310,6209,7792,     ,     ,     ,     ,0.2846,0.2907,40.3,42.8,45.3,48.2,51.1,54.2,     ,     ,0.0137,0.0202,0.0239,     ,     ,0.176,0.265,0.215,    ,    ,    ,    ,    ,    ,    ,     ,    ,    ,0,7,6.2,6,6,6,6,6,6,505,571,654,766,984,1242,    ,     ,    ,     ,0.5982,    ,     ,     ,     ,0.3969
97,558,772,797,836,989,1153,0.3432,0.3323,0.319,0.3121,0.3078,0.3099,43.3,45.8,48.1,50.5,53,55.5,0.0252,0.025,0.0177,0.0217,0.0209,0.026,0.038,0.056,0.057,0.063,0.628,1.121,1.679,1.693,1.737,1.92,0,0.003445,0.304645,0.10141,1,3,5.4,7,3.6,5,5,5,4.2,49955,57145,65706,74734,85299,103233,0.0178,0.0219,0.0281,0.0301,0.0345,0.0634,0.054,0.0459,0.0607,0.0654
98,874,972,1094,1321,1551,1361,0.3816,0.3738,0.3661,0.3602,0.356,0.3561,53.1,55.5,57.2,59.1,61,62.8,0.0262,0.0245,0.0205,0.0182,0.0164,0.013,0.012,0.016,0.027,0.022,3.776,4.222,4.833,5.412,6,6.481,0,0,0.1177,0.60452,1,4.666667,5,4.8,2.8,5.333333,5,4.6,2.6,27561,32030,37540,42565,48317,55121,0.0695,0.072,0.0703,0.0732,0.074,0.0728,0.0782,0.0716,0.0951,0.0936
99,3635,5651,7405,10791,11101,5971,0.2817,0.2817,0.2764,0.2883,0.2935,0.2959,44.7,48.3,52.3,56.3,59.7,62.4,0.0443,0.0437,0.0466,0.0767,0.0622,0.055,0.083,0.068,0.17,0.178,    ,    ,    ,    ,    ,    ,0.2,0.1,0,0.0138,0,6,6,6,6.2,6,6,6.4,6.8,4075,4793,5745,7251,9372,11595,0.4137,0.4135,0.5564,0.7796,0.629,0.1674,0.1968,0.1647,0.3688,0.3957
100,1528,1753,2869,4130,5817,9834,0.3285,0.3321,0.3499,0.3977,0.4621,0.4793,63.7,65.7,67.7,69.7,71.5,72.5,0.0382,0.0413,0.0278,0.0264,0.0345,0.003,0.033,0.053,0.06,0.05,2.987,3.25,3.78,4.062,3.691,4.553,    ,0,0,0,0,5,5,4.2,4,5,5,5,4.8,1634,1880,2075,2263,2415,2558,0.7712,0.6597,0.747,     ,     ,0.8137,0.7105,0.8489,     ,
101,974,971,1018,953,1199,1539,0.359,0.3528,0.3473,0.3608,0.3703,0.3738,62.3,63.9,63.5,65.1,68,69.8,0.0401,0.0365,0.0349,0.0249,0.0295,0.01,0.008,0.01,0.01,0.015,3.426,4.052,4.95,5.071,5.183,5.371,0,0,0.1,0,1,2,2,2.4,3.2,3,3,3.4,4.2,9889,11164,12514,13603,14819,16110,0.134,0.0996,0.0692,0.0716,0.0602,0.1433,0.1132,0.0781,0.0822,0.0926
102,1234,1552,1581,2683,3071,2900,0.2771,0.264,0.2499,0.2487,0.2486,0.2482,50,52.8,55.8,58.8,61.6,64,0.034,0.0309,0.0361,0.052,0.057,0.075,0.082,0.114,0.157,0.159,0.994,1.374,1.67,2.278,3.106,3.987,0.75,0.2,0.3,0.147,1,6.666667,5.4,5.4,6.2,7,6.2,6.6,7,4561,5325,6258,7438,8800,10458,0.086,0.0725,0.0797,0.0707,0.0485,0.0898,0.0867,0.1018,0.1333,0.0951
103,866,1133,1514,2033,2921,3581,0.3352,0.3249,0.3171,0.3439,0.3723,0.3973,65.4,67.2,69.6,71.4,72.4,72.8,0.0273,0.0288,0.0336,0.0359,0.0433,0.1,0.105,0.083,0.07,0.067,3.239,3.807,4.381,4.992,6.365,6.999,    ,0,0.1068,0,0,6,5.2,5,4.8,5,4.6,5.2,4,10792,12628,14676,16150,17805,19258,    ,     ,    ,     ,     ,    ,     ,     ,     ,
104,688,833,1063,1307,1694,1900,0.5093,0.5047,0.4998,0.4964,0.505,0.5158,52.7,55.6,58.4,60.6,62.2,63.8,0.0209,0.0258,0.0305,0.0347,0.0373,0.025,0.025,0.032,0.039,0.05,3.451,3.242,3.54,3.764,3.765,5.081,0,0,0.2,0.302295,1,6,4.8,3,2.8,3.666667,4.2,4,3.2,26392,30641,35745,41359,46718,51604,0.0558,0.0604,0.0636,0.078,0.0828,0.0613,0.0685,0.0721,0.096,0.1016
105,   ,    ,23937,19432,25646,12404,     ,     ,0.4222,0.4448,0.5232,0.5059,53.4,57.4,61.1,65.1,68.2,70.1,     ,     ,0.0089,0.015,0.0152,     ,     ,     ,0.038,0.066,    ,    ,    ,3.776,    ,    ,    ,     ,0.9395,0,    ,6.333333,5.2,5,5.2,5,5,5,5,90,144,223,505,1015,1349,    ,     ,0.8687,0.8381,0.8001,    ,     ,0.281,0.41,0.419
106,   ,    ,527,760,957,978,     ,     ,0.2548,0.2313,0.2093,0.2107,37.4,39.9,42.4,44.9,47.4,49.9,     ,     ,0.0109,0.017,0.0732,     ,0.026,0.038,0.103,0.193,    ,    ,    ,0.086,0.156,0.812,    ,0.596,0.11745,0.14605,0,4.666667,6,5.8,5,4,4.8,5,5,4039,4492,4835,5337,6357,7621,    ,     ,0.0062,0.0133,0.0229,    ,     ,0.0654,0.1624,0.2175
107,3908,4680,5843,7042,8230,8929,0.4802,0.4473,0.4191,0.4293,0.4453,0.4638,68.8,69.6,70.3,71.4,72.7,73.7,0.0299,0.0423,0.0492,0.0561,0.0579,0.012,0.012,0.01,0.012,0.012,3.651,4.002,5.922,6.094,6.224,6.642,0,0,0,0,0,1,1,1,1,1,1,1,1,7048,7271,7467,7579,7549,7558,0.1687,0.1899,0.2753,0.3904,0.3897,0.1635,0.1925,0.2718,0.3994,0.3917
108,4379,5445,6750,7917,9228,9717,0.3852,0.3769,0.3745,0.3854,0.4009,0.4151,69.7,70.9,71.2,71.9,73.2,74.3,0.0507,0.048,0.0508,0.0618,0.0594,0.035,0.031,0.028,0.032,0.033,7.362,7.592,7.711,8.364,8.794,9.152,0,0,0,0,0,1,1,1,1,1,1,1,1,9153,9464,9656,9796,9852,9858,0.2629,0.3165,0.4529,0.665,0.6602,0.2698,0.3165,0.4343,0.6752,0.6707
109,1692,2294,3028,2492,4282,5310,0.4101,0.4223,0.4179,0.4506,0.4658,0.4685,68.8,69.9,71,72.8,74.4,75.4,0.013,0.02,0.0447,0.0376,0.0379,0.024,0.017,0.014,0.022,0.017,4.293,4.839,5.56,7.258,7.152,7.128,0.1745,0,0.654,0.2,1,3.333333,3.2,1.4,1,3.666667,4,2.2,1.8,573,582,615,609,629,665,    ,     ,    ,0.2826,0.3152,    ,     ,     ,0.4044,0.4054
110,5490,6821,7776,8374,9598,10884,0.4567,0.469,0.4828,0.5014,0.5278,0.5444,72.2,72.7,73.2,73.8,74.1,74.9,0.044,0.0615,0.0729,0.0682,0.0668,0.028,0.027,0.023,0.024,0.024,9.384,9.508,9.626,9.913,10.139,10.331,0,0,0,0,0,1,1,1,1,1,1,1,1,4581,4758,4929,5060,5123,5122,0.2201,0.2389,0.3055,0.4243,0.4153,0.2311,0.2535,0.3255,0.4657,0.4091
111,4073,4932,6186,7203,8393,9232,0.4569,0.4623,0.4776,0.4858,0.4981,0.5069,68.5,69.3,70.3,71.6,73.2,75,0.0551,0.0601,0.0579,0.0602,0.0547,0.019,0.016,0.014,0.016,0.02,7.447,7.777,8.335,8.809,9.609,9.491,0,0,0,0,0,2,2,2,1.4,2,2,2,1.8,4430,4564,4606,4711,4780,4902,0.1769,0.1923,0.2438,0.3413,0.3542,0.185,0.196,0.2578,0.3425,0.345
112,4473,5536,7078,8358,9688,9918,0.4321,0.4233,0.425,0.4278,0.4386,0.4466,70.4,71.3,72,73.2,74.9,76.6,0.0289,0.0397,0.0442,0.0498,0.0557,0.059,0.048,0.039,0.039,0.041,4.057,4.711,4.763,5.223,5.968,6.523,0.004295,0.00205,0.00197,0.00189,0,1,1,1,1,2,1.5,2,2,45684,48758,50772,52699,53880,55170,0.1099,0.1191,0.1662,0.2423,0.2334,0.102,0.1167,0.1617,0.2361,0.2418
113,5217,6209,7443,8067,9795,10708,0.4722,0.4528,0.4436,0.4466,0.4602,0.4817,69.4,70.2,70.5,71.6,73.2,74.3,0.0297,0.035,0.0426,0.0477,0.0464,0.045,0.04,0.034,0.034,0.034,7.622,7.916,8.141,8.208,8.457,8.544,0,0.00168,0.004845,0,0,1,1,1,1,1,1.5,2,1.8,55433,59012,60651,61829,61566,61024,0.1472,0.1753,0.2597,0.3624,0.3484,0.1332,0.1553,0.2288,0.3316,0.3316
114,1474,2134,2952,3770,4383,4464,0.4065,0.3975,0.388,0.391,0.3804,0.3811,68.8,70.4,71.8,72.9,74.3,75.9,0.0164,0.0199,0.018,0.0217,0.0259,0.041,0.042,0.045,0.065,0.066,4.415,5.018,5.185,5.849,6.556,6.727,0.0118,0.2,0.1,0.1109,1,3.333333,2,1.2,1.8,3.333333,2,2,2,8327,8551,8793,9047,9643,9934,0.0712,0.0799,0.1044,0.1646,0.1598,0.1308,0.1496,0.1796,0.2434,0.2224
116,4644,5790,6157,7689,9285,9037,0.3921,0.4017,0.4314,0.4654,0.5132,0.527,    ,    ,    ,    ,    ,    ,0.0287,0.0347,0.0417,0.0385,0.0345,     ,     ,0,0,0,5.677,5.98,6.374,6.863,7.398,7.889,0,0,0,0,0,1,1,1,1,1,1,1,1,176,192,204,218,228,241,0.4121,0.4026,0.4427,0.5231,0.4614,0.408,0.4293,0.4863,0.5263,0.4656
117,2545,2977,3628,4157,4929,5205,0.3948,0.3898,0.381,0.3744,0.3702,0.3882,69.7,70.8,71.1,71.7,72.6,73.5,0.0341,0.0453,0.0499,0.0601,0.0631,0.014,0.013,0.015,0.017,0.018,6.448,6.449,6.519,6.729,7.605,8.008,0,0,0.032,0.03055,0,1,1,1,1,2,1.2,1,1,2834,2876,2954,3177,3401,3552,0.2195,0.2593,0.2866,0.4234,0.4795,0.2614,0.3047,0.35,0.5164,0.5594
118,3233,3952,5028,5685,7164,7425,0.4128,0.4008,0.3905,0.3867,0.3888,0.3984,69.4,70.4,71.7,72.6,74.7,76.3,0.0365,0.0388,0.0392,0.0408,0.0328,0.032,0.031,0.029,0.025,0.022,4.56,4.83,5.215,5.314,5.83,6.276,0,0,0,0.1482,0,1,1.8,1,1,2,1.6,1.8,1,50200,52112,53822,55441,56434,57141,0.0752,0.1023,0.1296,0.1811,0.1698,0.0842,0.0974,0.1458,0.1876,0.1921
120,1282,1355,2068,3099,4630,5319,0.2888,0.3176,0.3313,0.364,0.3626,0.4029,    ,69.4,    ,70.5,    ,    ,0.0466,0.058,0.0592,0.0398,0.0355,     ,     ,0.013,0.014,0.009,5.114,5.133,5.521,5.872,6.341,6.895,    ,0,0,0,0,1,1.6,2,1.4,1.333333,1.8,3.4,2.6,329,320,326,328,364,344,0.4145,0.362,0.3874,0.5801,0.5044,0.5109,0.4909,0.5473,0.6494,0.5795
121,4690,5581,6915,8031,9036,9092,0.3548,0.3567,0.3618,0.3714,0.3859,0.4045,73.3,73.5,73.5,74.4,75.7,76.5,0.0531,0.064,0.0748,0.0807,0.0751,0.044,0.038,0.034,0.033,0.032,5.365,5.693,7.674,7.895,8.199,8.572,0,0,0,0,0,1,1,1,1,1,1,1,1,11480,12292,13032,13653,14144,14484,0.2816,0.2998,0.4407,0.6158,0.596,0.2827,0.3042,0.4257,0.5984,0.5656
122,5001,6205,7104,8580,11094,12623,0.3926,0.4036,0.4142,0.443,0.4796,0.491,73.4,73.7,74.2,75,75.7,76.5,0.0461,0.0586,0.0671,0.0742,0.0672,0.034,0.036,0.033,0.031,0.029,5.626,5.863,6.757,10.191,10.316,10.382,0,0,0,0,0,1,1,1,1,1,1,1,1,3581,3723,3877,4007,4086,4153,0.3229,0.3729,0.4724,0.598,0.5681,0.3448,0.3732,0.4885,0.6707,0.4801
124,1429,1850,2575,3057,3733,3729,0.3801,0.3716,0.3745,0.407,0.4386,0.4492,63.7,65.5,67.4,68.9,71.4,72.9,0.0165,0.0143,0.0194,0.0394,0.0438,0.062,0.068,0.069,0.04,0.034,1.939,1.783,1.21,2.068,3.23,3.827,0.1,0,0.3,0.2,0,5,2.6,1.4,1,4,2.2,2,2,8826,9129,9044,9093,9766,10157,0.1037,0.1553,0.1669,0.1418,0.166,0.1375,0.1787,0.2201,0.23,0.2509
125,2425,3446,4379,5478,6131,6437,0.3797,0.3668,0.3539,0.3496,0.3449,0.3563,68.9,70.9,72.3,73.2,74.9,76.3,0.0117,0.015,0.0196,0.0212,0.0277,0.02,0.02,0.016,0.021,0.032,3.429,3.851,4.781,4.4,5.152,5.585,0,0,0.002875,0.0705,0,5,3.2,1.4,1,5.333333,3,2.4,1.8,30455,32056,33779,35596,37542,38602,0.048,0.0613,0.092,0.1272,0.1564,0.0492,0.0754,0.1004,0.1416,0.1656
126,5149,6438,7401,8351,8863,9904,0.4374,0.4516,0.4635,0.4808,0.501,0.5074,73.2,73.9,74.5,75,75.9,76.4,0.0499,0.0689,0.0723,0.0797,0.0843,0.041,0.039,0.036,0.032,0.028,7.58,7.616,7.466,7.896,9.469,9.447,0,0,0,0,0,1,1.2,1,1,1,1,1,1,7480,7734,8043,8193,8310,8350,0.2064,0.228,0.3238,0.4253,0.4013,0.2053,0.2327,0.3134,0.4358,0.3982
127,6834,7988,9164,9423,10013,10640,0.4672,0.4666,0.4757,0.4717,0.4796,0.4903,71.3,72,73.2,74.7,75.8,76.7,0.0342,0.0406,0.0448,0.0532,0.0521,0.027,0.025,0.021,0.02,0.018,6.866,6.862,6.22,6.26,9.666,9.088,0,0,0,0,0,1,1,1,1,1,1,1,1,5362,5857,6187,6339,6319,6470,0.1734,0.2102,0.2871,0.4666,0.443,0.1898,0.2065,0.3001,0.4393,0.4557
128,1255,1407,1702,2250,2319,2533,0.5076,0.4809,0.455,0.4376,0.4259,0.425,50.5,53.8,56.7,59.3,61,63.1,0.0264,0.0362,0.0406,0.0453,0.0288,0.05,0.046,0.042,0.057,0.051,1.945,2.156,1.965,2.122,2.616,3.294,0.30329,0,0.00269,0.1164,1,3.666667,3,4.2,2.6,3.333333,3,5,4,27509,31151,35321,40025,44438,50345,0.0268,0.0273,0.0314,0.0302,0.0533,0.0367,0.0327,0.0467,0.0643,0.0757
129,4970,5609,6319,7082,7975,8665,0.4627,0.4581,0.4595,0.4645,0.4749,0.4845,70.8,71.1,71.7,72.4,73.8,74.7,0.0451,0.052,0.0514,0.0601,0.0537,0.063,0.055,0.05,0.048,0.051,7.737,7.272,7.319,8.166,8.345,8.648,0,0,0.103555,0.303555,0,1,1,1,1,1,1,1,1,52372,54350,55632,56226,56330,56618,0.1518,0.1537,0.1845,0.2479,0.2627,0.1576,0.1571,0.194,0.25,0.2473
131,5182,5862,7344,7739,8349,8850,0.4058,0.4148,0.428,0.4325,0.459,0.4673,70.7,70.9,71.4,72.8,74.5,75.8,0.028,0.0375,0.0497,0.0618,0.0594,0.028,0.037,0.032,0.026,0.027,8.93,8.942,10.094,10.006,10.076,10.241,0,0.0086,0.0073,0,0,1,1,1,1,1,1,1,1,10315,11387,12552,13627,14695,15758,0.1095,0.1086,0.135,0.1707,0.1634,0.1109,0.1175,0.1294,0.1729,0.1853
132,1799,1833,2201,2769,3055,2893,0.2766,0.2792,0.2962,0.3092,0.3249,0.33,59.2,61.7,64.2,66.4,68.3,69.8,0.0147,     ,0.0423,0.0509,0.06,     ,0.002,0.002,0.004,0.004,4.937,6.4,5.115,5.117,6.02,6.756,    ,     ,0,0,0,2,2,2,4.2,2,2,2,3.4,394,464,520,576,634,699,0.1712,0.189,0.2201,0.2251,0.2273,0.1787,0.2123,0.2568,0.2439,0.261
133,5571,6118,6595,7423,7363,8000,0.3727,0.3746,0.3897,0.3922,0.4285,0.449,71,71.2,71.5,72.1,73.2,74.4,0.0332,0.0405,0.0514,0.0565,0.0521,0.019,0.021,0.018,0.018,0.02,9.612,9.54,9.693,11.158,12.141,12.039,0,0,0,0,0,1,1,1,1,1,1,1,1,2372,2628,2820,3083,3113,3247,0.1694,0.1607,0.1876,0.2216,0.244,0.1688,0.1562,0.2007,0.2447,0.2657
134,1008,1366,1664,1518,1528,1374,0.5399,0.5332,0.5165,0.5105,0.4932,0.4799,41,44.2,46.7,49.2,51.3,53.2,0.0303,0.0452,0.0556,0.061,      ,0.014,0.018,0.012,0.012,0.015,1.351,1.165,0.728,0.893,0.982,1.654,    ,     ,    ,0,0,3.5,2.2,2,2,2,2,2,2,1920,2148,2422,2729,3086,3460,0.0611,0.0634,0.1427,0.2087,0.1873,0.1011,0.1352,0.1817,0.2183,0.2691
